Экран	ID	Тип_элемента	X	Y	Ширина	Высота	Заливка_RGB	Имя_цвета	Контур	Шрифт_pt	Цвет_текста_HEX	Текст_статический	Переменная	Режим_текста	Тип_анимации	Условие	Цвет_при_TRUE	Цвет_при_FALSE	Видимость	Относит_перемещение_Y	Действие	Целевой_экран	Примечания
Visu_Main	BG_Image	Image	0	0	800	480			нет			Visu_Main_bg.svg			нет					Send to back	 Selectable=off	 Image Pool	
Visu_Main	HDR_Title	Text	12	14				ЩУ · Насосы Крым		Static				14	#E8F2FA								
Visu_Main	HDR_ModeBg	Rectangle	520	10	120	32	46,196,182	OK	#2A4A6B					Color	GVL_HMI.Status_Manual	233,196,106	46,196,182			Manual если TRUE иначе OK			
Visu_Main	HDR_ModeTxt_Manual	Text	530	18				Ручной		Static				12	#E8F2FA			GVL_HMI.Status_Manual			Visibility=TRUE только в ручном		
Visu_Main	HDR_ModeTxt_Auto	Text	530	18				Автомат		Static				12	#E8F2FA			NOT GVL_HMI.Status_Manual			Visibility=TRUE только в авто		
Visu_Main	HDR_Clock	Text	680	14						Expression	CONCAT из HMI_NowHour HMI_NowMin			12	#8AA8C4			Заглушка 0:00 до RTC					
Visu_Main	ALM_Banner	Image	0	52	800	26			нет	Visu_Alarm_banner.svg			Visibility	GVL_HMI.Status_Alarm					или Rectangle 800x26 цвет Alarm				
Visu_Main	ALM_Text	Text	12	56				АВАРИЯ		Static				12	#FFFFFF			GVL_HMI.Status_Alarm			опционально второй текст по Alarm_DryRun Flood		
Visu_Main	TNK_Frame	Rectangle	12	90	80	130	19,34,56	Panel	#2A4A6B	Fill=Invisible контур 1px							статическая рамка резервуара						
Visu_Main	TNK_Fill	Rectangle	20	98	64	130	76,201,240	Run	нет					RelativeMovement	GVL_HMI.Disp_LevelBarRelY			GVL_HMI.Disp_LevelBarRelY		§4.8 эталон H=130			
Visu_Main	TNK_Pct	Text	30	200						Expression	CONCAT INT_TO_STRING Disp_LevelPct '%'			12	#E8F2FA								
Visu_Main	TNK_Label	Text	12	225						Variable	GVL_HMI.Disp_LevelText			12	#E8F2FA								
Visu_Main	SEN_High_LED	Ellipse	110	92	12	12	46,196,182	OK	#2A4A6B				GVL_HMI.Disp_LvlHigh	Input	Color	GVL_HMI.Disp_LvlHigh	46,196,182	74,95,115					
Visu_Main	SEN_High_Txt	Text	128	90				Верхний		Static				12	#E8F2FA								
Visu_Main	SEN_Mid_LED	Ellipse	110	120	12	12	46,196,182	OK	#2A4A6B				GVL_HMI.Disp_LvlMid	Input	Color	GVL_HMI.Disp_LvlMid	46,196,182	74,95,115					
Visu_Main	SEN_Mid_Txt	Text	128	118				Рабочий		Static				12	#E8F2FA								
Visu_Main	SEN_Low_LED	Ellipse	110	148	12	12	231,111,81	Alarm	#2A4A6B				GVL_HMI.Disp_LvlLow	Input	Color	GVL_HMI.Disp_LvlLow	231,111,81	74,95,115					
Visu_Main	SEN_Low_Txt	Text	128	146				Нижний		Static				12	#E8F2FA								
Visu_Main	SEN_Flood_LED	Ellipse	110	176	12	12	231,111,81	Alarm	#2A4A6B				GVL_HMI.Disp_Flood	Input	Color	GVL_HMI.Disp_Flood	231,111,81	74,95,115					
Visu_Main	SEN_Flood_Txt	Text	128	174				Затопление		Static				12	#E8F2FA								
Visu_Main	PMP_N1_Run	Ellipse	20	270	10	10	76,201,240	Run				GVL_HMI.Disp_N1_Run	Input	Color	GVL_HMI.Disp_N1_Run	76,201,240	74,95,115			карточка N1 база X12 Y240			
Visu_Main	PMP_N1_Man	Ellipse	50	270	10	10	233,196,106	Manual				GVL_HMI.Disp_N1_Manual	Input	Color	GVL_HMI.Disp_N1_Manual	233,196,106	74,95,115						
